"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/1999","37.30","42.80","44.38","36.98","16.71M","-10.77%"
"12/01/1999","36.60","37.40","37.76","34.01","22.60M","-1.88%"
"01/01/2000","32.92","36.50","37.76","32.92","17.54M","-10.05%"
"02/01/2000","28.80","33.32","34.18","28.32","28.38M","-12.52%"
"03/01/2000","36.40","28.74","36.66","27.02","26.61M","26.39%"
"04/01/2000","38.32","36.70","39.16","35.10","12.45M","5.27%"
"05/01/2000","37.72","38.20","39.00","33.20","9.74M","-1.57%"
"06/01/2000","35.20","37.72","39.50","34.40","10.53M","-6.68%"
"07/01/2000","36.50","35.20","38.80","34.11","10.52M","3.69%"
"08/01/2000","38.26","36.58","41.48","36.34","12.17M","4.82%"
"09/01/2000","41.40","38.20","41.72","36.10","11.05M","8.21%"
"10/01/2000","42.06","41.00","42.50","35.22","12.44M","1.59%"
"11/01/2000","43.48","41.50","43.98","39.80","11.93M","3.38%"
"12/01/2000","47.08","43.36","47.50","42.70","11.61M","8.28%"
"01/01/2001","45.00","47.46","49.50","42.84","16.36M","-4.42%"
"02/01/2001","46.78","45.00","47.96","44.92","11.37M","3.96%"
"03/01/2001","43.52","46.50","48.00","41.70","16.13M","-6.97%"
"04/01/2001","45.50","43.32","46.44","41.50","11.03M","4.55%"
"05/01/2001","45.44","45.50","46.58","44.42","11.65M","-0.13%"
"06/01/2001","46.00","45.88","46.60","43.02","9.39M","1.23%"
"07/01/2001","45.92","46.00","47.34","44.92","9.43M","-0.17%"
"08/01/2001","46.24","45.92","46.68","44.80","7.73M","0.70%"
"09/01/2001","46.60","46.04","47.16","39.54","19.78M","0.78%"
"10/01/2001","47.08","46.20","50.30","45.54","19.30M","1.03%"
"11/01/2001","46.66","47.20","48.70","44.20","10.29M","-0.89%"
"12/01/2001","50.50","46.70","50.50","44.80","9.97M","8.23%"
"01/01/2002","49.06","49.80","49.98","47.40","9.78M","-2.85%"
"02/01/2002","48.50","49.34","49.38","48.00","6.56M","-1.14%"
"03/01/2002","47.38","48.70","49.80","45.70","12.98M","-2.31%"
"04/01/2002","48.66","47.28","48.80","46.30","10.32M","2.70%"
"05/01/2002","49.44","48.90","52.40","48.20","11.49M","1.60%"
"06/01/2002","44.68","49.60","50.30","44.30","9.09M","-9.63%"
"07/01/2002","45.74","45.22","47.02","38.50","21.70M","2.37%"
"08/01/2002","48.80","45.86","50.30","45.10","12.64M","6.69%"
"09/01/2002","49.30","48.52","50.60","46.36","10.86M","1.02%"
"10/01/2002","49.20","49.40","49.70","44.88","13.75M","-0.20%"
"11/01/2002","48.22","49.20","50.00","46.46","11.10M","-1.99%"
"12/01/2002","48.46","48.80","48.96","46.02","13.11M","0.50%"
"01/01/2003","44.48","48.40","48.74","44.16","13.00M","-8.21%"
"02/01/2003","41.30","44.56","45.48","40.30","13.23M","-7.15%"
"03/01/2003","42.74","41.80","46.38","41.80","15.93M","3.49%"
"04/01/2003","46.64","43.34","49.08","42.82","17.20M","9.12%"
"05/01/2003","47.48","46.74","49.49","46.52","13.70M","1.80%"
"06/01/2003","48.60","47.52","50.28","47.14","13.08M","2.36%"
"07/01/2003","48.06","48.70","49.69","47.34","12.24M","-1.11%"
"08/01/2003","50.60","48.16","50.99","47.70","12.54M","5.29%"
"09/01/2003","49.92","50.80","50.88","49.50","12.58M","-1.34%"
"10/01/2003","51.85","49.92","52.10","49.92","11.44M","3.87%"
"11/01/2003","56.02","52.04","56.48","52.00","14.25M","8.04%"
"12/01/2003","56.30","56.20","56.42","54.62","11.73M","0.50%"
"01/01/2004","59.62","56.30","60.40","55.90","13.70M","5.90%"
"02/01/2004","62.66","59.62","63.90","59.36","12.23M","5.10%"
"03/01/2004","62.22","63.34","63.36","60.44","16.61M","-0.70%"
"04/01/2004","62.38","62.20","63.78","61.10","11.88M","0.26%"
"05/01/2004","59.44","62.50","62.58","56.60","16.33M","-4.71%"
"06/01/2004","59.10","59.40","60.30","57.48","11.13M","-0.57%"
"07/01/2004","57.88","59.30","60.52","57.62","11.80M","-2.06%"
"08/01/2004","57.88","57.60","58.08","55.64","10.80M","0.00%"
"09/01/2004","57.42","57.90","58.38","57.20","9.13M","-0.79%"
"10/01/2004","56.08","57.60","57.60","53.70","15.03M","-2.33%"
"11/01/2004","55.60","56.06","57.46","54.04","13.96M","-0.86%"
"12/01/2004","58.72","55.60","59.88","55.52","13.60M","5.61%"
"01/01/2005","59.88","58.72","60.24","56.82","15.30M","1.98%"
"02/01/2005","60.30","59.94","61.34","59.66","10.50M","0.70%"
"03/01/2005","57.12","60.32","60.70","56.10","21.39M","-5.27%"
"04/01/2005","55.96","56.90","58.96","54.66","20.29M","-2.03%"
"05/01/2005","56.20","56.66","57.60","55.00","12.77M","0.43%"
"06/01/2005","55.67","56.46","56.46","54.94","11.15M","-0.94%"
"07/01/2005","55.64","55.80","56.96","55.56","10.61M","-0.05%"
"08/01/2005","55.52","55.94","56.76","55.00","14.69M","-0.22%"
"09/01/2005","54.62","55.36","56.32","52.24","19.99M","-1.62%"
"10/01/2005","56.30","54.62","56.60","54.56","12.83M","3.08%"
"11/01/2005","59.10","56.30","60.06","56.22","17.22M","4.97%"
"12/01/2005","58.71","59.28","60.63","58.58","10.04M","-0.66%"
"01/01/2006","58.64","58.50","59.98","58.22","11.87M","-0.12%"
"02/01/2006","57.76","58.40","58.60","57.20","9.80M","-1.50%"
"03/01/2006","60.24","57.84","60.26","57.56","19.91M","4.29%"
"04/01/2006","59.04","60.20","60.50","56.78","20.11M","-1.99%"
"05/01/2006","61.38","59.16","61.98","58.20","19.99M","3.96%"
"06/01/2006","60.86","61.46","61.78","59.63","16.27M","-0.85%"
"07/01/2006","60.94","61.30","61.44","59.56","13.73M","0.13%"
"08/01/2006","64.07","60.94","64.58","60.66","15.87M","5.14%"
"09/01/2006","63.48","63.86","64.76","61.78","12.16M","-0.92%"
"10/01/2006","70.30","63.40","70.46","63.30","17.13M","10.74%"
"11/01/2006","71.10","70.20","72.56","68.90","17.12M","1.14%"
"12/01/2006","73.32","71.10","76.50","70.40","18.39M","3.12%"
"01/01/2007","73.35","73.56","73.72","70.82","15.66M","0.04%"
"02/01/2007","70.46","73.43","73.80","69.20","16.63M","-3.94%"
"03/01/2007","72.80","70.28","73.16","69.86","13.13M","3.32%"
"04/01/2007","72.56","72.20","73.35","71.72","10.55M","-0.33%"
"05/01/2007","72.50","72.68","73.59","71.80","14.03M","-0.08%"
"06/01/2007","72.10","72.60","73.00","70.76","11.96M","-0.55%"
"07/01/2007","72.08","72.30","74.46","71.16","12.06M","-0.03%"
"08/01/2007","77.80","71.96","80.00","71.60","20.97M","7.94%"
"09/01/2007","79.04","77.96","80.00","77.62","13.78M","1.59%"
"10/01/2007","88.28","79.40","88.28","78.98","20.04M","11.69%"
"11/01/2007","93.80","88.00","93.96","87.34","28.29M","6.25%"
"12/01/2007","94.72","94.12","101.18","87.30","26.33M","0.98%"
"01/01/2008","91.00","94.80","96.98","83.00","27.93M","-3.93%"
"02/01/2008","93.49","91.20","97.16","89.34","17.78M","2.74%"
"03/01/2008","89.46","92.04","92.40","84.60","22.56M","-4.31%"
"04/01/2008","89.14","90.00","90.38","84.24","20.65M","-0.36%"
"05/01/2008","89.96","89.18","90.40","80.70","41.07M","0.92%"
"06/01/2008","80.24","89.68","90.40","79.60","23.60M","-10.80%"
"07/01/2008","76.58","79.64","81.84","74.02","30.77M","-4.56%"
"08/01/2008","78.04","76.90","80.00","75.10","21.22M","1.91%"
"09/01/2008","87.90","78.50","91.90","76.40","36.20M","12.63%"
"10/01/2008","76.80","88.20","94.00","60.00","62.15M","-12.63%"
"11/01/2008","69.98","76.00","79.38","49.02","58.79M","-8.88%"
"12/01/2008","64.28","65.00","71.20","60.00","37.15M","-8.15%"
"01/01/2009","59.78","64.10","68.32","50.02","30.69M","-7.00%"
"02/01/2009","51.28","57.80","68.40","44.82","48.98M","-14.22%"
"03/01/2009","56.40","47.70","59.78","45.02","56.34M","9.98%"
"04/01/2009","61.30","55.30","63.10","55.10","38.99M","8.69%"
"05/01/2009","59.44","61.10","62.82","56.92","32.40M","-3.03%"
"06/01/2009","57.91","59.71","60.54","54.82","29.98M","-2.57%"
"07/01/2009","63.61","57.94","64.00","54.66","37.45M","9.84%"
"08/01/2009","65.72","64.02","71.38","63.10","35.82M","3.32%"
"09/01/2009","66.46","65.86","69.00","63.62","29.40M","1.13%"
"10/01/2009","65.66","65.63","67.21","64.22","35.33M","-1.20%"
"11/01/2009","67.06","65.60","70.00","64.82","44.66M","2.13%"
"12/01/2009","65.72","67.46","67.46","65.22","35.03M","-2.00%"
"01/01/2010","76.43","66.00","77.79","64.72","121.87M","16.30%"
"02/01/2010","80.13","77.79","80.18","71.61","565.11M","4.84%"
"03/01/2010","81.27","79.99","83.57","79.14","154.25M","1.42%"
"04/01/2010","77.00","81.60","81.95","75.52","92.15M","-5.25%"
"05/01/2010","70.55","77.70","78.80","68.48","122.91M","-8.38%"
"06/01/2010","79.69","70.05","81.90","69.61","283.01M","12.96%"
"07/01/2010","78.12","79.56","80.23","76.21","142.40M","-1.97%"
"08/01/2010","78.78","78.78","80.90","75.62","119.42M","0.84%"
"09/01/2010","82.68","79.30","85.86","78.99","139.55M","4.95%"
"10/01/2010","79.56","83.30","84.45","78.72","92.66M","-3.77%"
"11/01/2010","79.68","79.76","83.80","78.82","93.54M","0.15%"
"12/01/2010","80.11","80.72","81.92","79.20","81.57M","0.54%"
"01/01/2011","81.75","80.50","83.48","79.14","84.14M","2.05%"
"02/01/2011","87.28","82.06","87.65","82.06","73.86M","6.76%"
"03/01/2011","83.63","87.54","87.61","80.91","106.05M","-4.18%"
"04/01/2011","83.30","84.09","84.09","79.78","78.13M","-0.39%"
"05/01/2011","79.07","82.39","82.50","77.23","78.13M","-5.08%"
"06/01/2011","77.39","78.76","78.89","73.23","110.41M","-2.12%"
"07/01/2011","74.17","77.24","78.19","74.13","94.54M","-4.16%"
"08/01/2011","73.00","75.70","75.70","66.51","218.01M","-1.58%"
"09/01/2011","71.04","73.21","74.29","65.35","174.15M","-2.68%"
"10/01/2011","77.86","71.06","80.58","69.07","158.03M","9.60%"
"11/01/2011","78.76","76.12","79.01","72.60","122.86M","1.16%"
"12/01/2011","76.30","78.21","78.90","73.73","106.43M","-3.12%"
"01/01/2012","78.37","77.38","80.08","75.86","83.71M","2.71%"
"02/01/2012","78.45","78.79","80.49","77.89","88.65M","0.10%"
"03/01/2012","81.15","78.64","82.47","78.18","91.96M","3.44%"
"04/01/2012","80.45","81.15","82.03","78.21","82.06M","-0.86%"
"05/01/2012","79.36","80.47","82.59","78.28","95.28M","-1.35%"
"06/01/2012","83.33","78.33","83.33","78.33","94.88M","5.00%"
"07/01/2012","84.84","83.34","85.44","82.14","76.75M","1.81%"
"08/01/2012","84.34","85.04","86.01","82.12","77.10M","-0.59%"
"09/01/2012","88.20","84.40","89.95","84.03","94.14M","4.58%"
"10/01/2012","86.35","88.72","90.93","86.18","78.76M","-2.10%"
"11/01/2012","88.08","86.64","88.88","83.85","94.39M","2.00%"
"12/01/2012","89.70","88.28","90.83","86.95","103.90M","1.84%"
"01/01/2013","96.93","91.32","97.75","91.29","94.81M","8.06%"
"02/01/2013","102.16","97.56","102.33","96.36","80.91M","5.40%"
"03/01/2013","104.20","101.45","104.48","100.44","74.04M","2.00%"
"04/01/2013","106.32","104.17","108.04","102.69","80.18M","2.03%"
"05/01/2013","114.07","105.97","115.00","105.97","94.43M","7.29%"
"06/01/2013","111.92","114.76","115.98","109.53","85.97M","-1.88%"
"07/01/2013","115.87","112.51","119.30","111.58","69.34M","3.53%"
"08/01/2013","111.22","116.98","119.14","110.72","65.89M","-4.01%"
"09/01/2013","113.51","112.32","117.97","110.72","76.08M","2.06%"
"10/01/2013","115.09","113.74","117.70","110.84","78.72M","1.39%"
"11/01/2013","116.53","115.28","117.33","113.50","64.38M","1.25%"
"12/01/2013","118.56","116.50","118.66","113.50","71.61M","1.74%"
"01/01/2014","111.60","118.34","118.50","110.85","86.03M","-5.87%"
"02/01/2014","115.78","112.11","116.00","108.12","74.93M","3.75%"
"03/01/2014","124.97","116.15","125.91","114.88","90.22M","7.94%"
"04/01/2014","128.85","125.07","129.20","121.09","74.39M","3.10%"
"05/01/2014","128.34","128.81","129.73","124.06","58.36M","-0.40%"
"06/01/2014","126.56","128.28","128.75","125.44","56.75M","-1.39%"
"07/01/2014","125.43","126.72","129.39","125.37","52.79M","-0.89%"
"08/01/2014","137.25","125.00","137.25","122.72","63.61M","9.42%"
"09/01/2014","138.14","138.03","142.45","136.68","69.76M","0.65%"
"10/01/2014","140.16","138.37","141.52","132.03","101.18M","1.46%"
"11/01/2014","148.69","140.88","149.49","139.55","55.48M","6.09%"
"12/01/2014","150.15","148.61","152.94","144.75","93.44M","0.98%"
"01/01/2015","143.91","151.50","151.69","143.89","85.93M","-4.16%"
"02/01/2015","147.41","144.13","151.63","143.30","64.11M","2.43%"
"03/01/2015","144.32","147.71","147.98","142.50","78.76M","-2.10%"
"04/01/2015","141.21","144.34","144.63","140.33","61.85M","-2.15%"
"05/01/2015","143.00","142.00","148.57","141.79","59.09M","1.27%"
"06/01/2015","136.11","143.26","144.07","136.08","72.42M","-4.82%"
"07/01/2015","142.74","137.70","144.69","136.04","66.03M","4.87%"
