Date,BRKB,SPY,GLD,QQQ,Balanced
2012-06-01,14987.41081258131,11604.505771826822,34394.94816382603,13453.413536113372,17658.57225862315
2012-07-01,15258.992565868366,11750.6943943973,34683.06941438731,13683.102748252068,17907.045864788484
2012-08-01,15169.064505846436,11982.927709666863,36396.277727891174,14025.894152419924,18298.088011901047
2012-09-01,15863.309238991202,12273.347786429045,38096.188709831644,14305.099735008467,18922.671798484243
2012-10-01,15530.575691348718,12030.465478492832,36974.73532366633,14119.749296744341,18528.048752960163
2012-11-01,15841.72738278965,12064.712805299288,36801.86324969435,14199.659344800268,18638.179628829097
2012-12-01,16133.093419056993,12149.98898182839,35908.689740231115,14225.632158899678,18652.25085126856
2013-01-01,17433.453770739157,12762.689798275425,35726.95052400093,15059.90578528697,19522.112385217344
2013-02-01,18374.1018823336,12903.853427431328,33909.57527081857,15252.054289283533,19686.257089313232
2013-03-01,18741.007159692977,13368.233742893177,34230.93985028835,15761.087898739283,20181.250160083633
2013-04-01,19122.30262817555,13610.008513994431,31642.288930013747,16135.35072264152,20181.836529391814
2013-05-01,20516.187558515467,13892.590557775311,29680.851360638797,16516.29593333577,20577.622562479588
2013-06-01,20129.49662598251,13684.21140205532,26398.49366799975,16210.118841795456,19739.21992717073
2013-07-01,20839.92912347174,14361.060959971332,28359.92954646275,17138.014326643974,20796.97612406915
2013-08-01,20003.597890829125,13911.588194302103,29835.992531918288,16624.010378714534,20516.566213837497
2013-09-01,20415.468570392764,14325.45131086084,28408.6869924992,17066.90840994573,20663.660183521337
2013-10-01,20699.640197195153,14964.305595723266,28311.17040951435,17944.254125809908,21227.85149938478
2013-11-01,20958.63344916017,15384.046457062463,26750.88648172543,18476.09191038854,21343.44230029404
2013-12-01,21323.74115329828,15746.537543470822,25735.816820803157,18852.75410831347,21468.43153340465
2014-01-01,20071.942722456202,15186.229978931842,26615.691307791036,18286.97612261351,20967.505244410597
2014-02-01,20823.741359127274,15841.01511522595,28284.57574638756,19119.316946704494,21959.276061732497
2014-03-01,22476.61954143221,15950.827652397329,27395.834117141476,19193.218437796397,22262.240204812842
2014-04-01,23174.4621654061,16049.735371492294,27531.029291075865,19411.934538444402,22564.341031835287
2014-05-01,23082.73378777631,16387.26580145681,26691.04679877818,19862.405684308895,22620.606488063062
2014-06-01,22762.590113649167,16699.579749567725,28377.658758243302,20175.804997696545,23096.530619941208
2014-07-01,22559.35319198919,16447.75291175594,27347.07498019308,20000.059767452556,22691.4426734656
2014-08-01,24685.252476019894,17067.09790927204,27451.241919871572,20789.337177987185,23672.800027732108
2014-09-01,24845.324313083463,16802.321729987096,25755.762818148254,20407.12046293941,23152.591966582953
2014-10-01,25208.634444000312,17192.160136723083,24968.97303392806,20985.36671043508,23374.067576511472
2014-11-01,26742.806928423517,17613.945521459023,24847.075191557073,21561.881629789023,24033.80388490088
2014-12-01,27005.395326831058,17540.167969140384,25172.873342155945,21389.13441208444,24098.27984799422
2015-01-01,25883.094894164788,16995.707020837188,27360.37231175648,20869.951903588546,24044.699725603357
2015-02-01,26512.591314318302,17928.644053572338,25744.682272149403,22042.92864759076,24440.53554068292
